S,233915238,10112,2021,
A12.1.1.01.01.001.01 800301,Sueldo basico Costo medio de administracion (CMA)AC,616611684.00,0.00,0.00,0.00,0.00,641611684.00,631582587.00
A12.1.1.01.01.001.01 800301,Sueldo basico Costo medio de administracion (CMA)AC,0.00,0.00,0.00,0.00,0.00,0.00,0.00
A12.1.1.01.01.001.01 800302,Sueldo basico Costo medio de operacion (CMO) AC,624461969.00,0.00,79195963.00,0.00,0.00,737657932.00,724061042.00
A12.1.1.01.01.001.01 800401,Sueldo basico Costo medio de administracion (CMA) AL,453539640.00,0.00,0.00,0.00,0.00,418539640.00,416832799.00
A12.1.1.01.01.001.01 800402,Sueldo basico Costo medio de operacion (CMO) AL,106241692.00,0.00,0.00,0.00,0.00,80241692.00,78182463.00
A12.1.1.01.01.001.02.01 800301,Horas extras, dominicales, festivos y recargos Costo medio de administracion (CMA)AC,800000.00,0.00,0.00,0.00,0.00,1300000.00,800000.00
A12.1.1.01.01.001.02.01 800302,Horas extras, dominicales, festivos y recargos Costo medio de operacion (CMO) AC,106475585.00,0.00,0.00,0.00,0.00,137475585.00,136982285.00
A12.1.1.01.01.001.02.01 800401,Horas extras, dominicales, festivos y recargos Costo medio de administracion (CMA) AL,51266022.00,0.00,0.00,0.00,0.00,9766022.00,1659152.00
A12.1.1.01.01.001.02.01 800402,Horas extras, dominicales, festivos y recargos Costo medio de operacion (CMO) AL,15774161.00,0.00,0.00,0.00,0.00,15774161.00,3623895.00
A12.1.1.01.01.001.02.02 800302,Permanencias Costo medio de operacion (CMO) AC,2980658.00,0.00,0.00,0.00,0.00,4980658.00,3054462.00
A12.1.1.01.01.001.02.02 800401,Permanencias Costo medio de administracion (CMA) AL,842152.00,0.00,0.00,0.00,0.00,842152.00,207962.00
A12.1.1.01.01.001.02.02 800402,Permanencias Costo medio de operacion (CMO) AL,1052610.00,0.00,0.00,0.00,0.00,1052610.00,930231.00
A12.1.1.01.01.001.04 800301,Subsidio de alimentacion Costo medio de administracion (CMA)AC,32404194.00,0.00,0.00,0.00,0.00,24404194.00,23311319.00
