S,233915238,10112,2021,
A12.1.1.01.01.001.01 800301,Sueldo basico Costo medio de administracion (CMA)AC,ND,616611684.00,70000000.00,45000000.00,0.00,0.00,0.00,0.00,631582587.00,631582587.00,631582587.00
A12.1.1.01.01.001.01 800301,Sueldo basico Costo medio de administracion (CMA)AC,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
A12.1.1.01.01.001.01 800302,Sueldo basico Costo medio de operacion (CMO) AC,ND,624461969.00,34000000.00,0.00,0.00,0.00,0.00,79195963.00,724061042.00,724061042.00,724061042.00
A12.1.1.01.01.001.01 800401,Sueldo basico Costo medio de administracion (CMA) AL,ND,453539640.00,0.00,35000000.00,0.00,0.00,0.00,0.00,416832799.00,416832799.00,416832799.00
A12.1.1.01.01.001.01 800402,Sueldo basico Costo medio de operacion (CMO) AL,ND,106241692.00,0.00,26000000.00,0.00,0.00,0.00,0.00,78182463.00,78182463.00,78182463.00
A12.1.1.01.01.001.02.01 800301,Horas extras  dominicales  festivos y recargos Costo medio de administracion (CMA)AC,ND,800000.00,500000.00,0.00,0.00,0.00,0.00,0.00,800000.00,800000.00,800000.00
A12.1.1.01.01.001.02.01 800302,Horas extras  dominicales  festivos y recargos Costo medio de operacion (CMO) AC,ND,106475585.00,31000000.00,0.00,0.00,0.00,0.00,0.00,136982285.00,136982285.00,136982285.00
A12.1.1.01.01.001.02.01 800401,Horas extras  dominicales  festivos y recargos Costo medio de administracion (CMA) AL,ND,51266022.00,0.00,41500000.00,0.00,0.00,0.00,0.00,1659152.00,1659152.00,1659152.00
A12.1.1.01.01.001.02.01 800402,Horas extras  dominicales  festivos y recargos Costo medio de operacion (CMO) AL,ND,15774161.00,0.00,0.00,0.00,0.00,0.00,0.00,3623895.00,3623895.00,3623895.00
A12.1.1.01.01.001.02.02 800302,Permanencias Costo medio de operacion (CMO) AC,ND,2980658.00,2000000.00,0.00,0.00,0.00,0.00,0.00,3054462.00,3054462.00,3054462.00
