S,233915238,10112,2021,
18010000,ADICION PAGOS VIGENCIAS ANTERIORES,2021/02/22,3379253368.33,0.00
18021.1.02.06.007.02.01.17,ADICION PRESUPUESTAL DEL CONVENIO INTERADMINISTRATIVO CIN-20210005 SEGUN RESOLUCION 242 DE 14 DE JULIO DE 2021,2021/07/14,146007404,0.00
18010000,ADICION PRESUPUESTAL SUPERAVIT AÑO 2020 SEGUN ACUERDO 010/19 DE OCTUBRE 2021 COMFIS Y RESOLUCION 382 DE 3 NOVIEMBRE DE 2021,2021/11/03,196910514,0.00
18010000,ADICION PRESUPUESTAL SUPERAVIT AÑO 2020 SEGUN ACUERDO 010/19 DE OCTUBRE 2021 COMFIS Y RESOLUCION 382 DE 3 NOVIEMBRE DE 2021,2021/11/03,457828341.44,0.00
18010000,ADICION PRESUPUESTAL SUPERAVIT AÑO 2020 SEGUN ACUERDO 010/19 DE OCTUBRE 2021 COMFIS Y RESOLUCION 382 DE 3 NOVIEMBRE DE 2021,2021/11/03,135422764,0.00
18010000,ADICION PRESUPUESTAL SUPERAVIT AÑO 2020 SEGUN ACUERDO 010/19 DE OCTUBRE 2021 COMFIS Y RESOLUCION 382 DE 3 NOVIEMBRE DE 2021,2021/11/03,411875809,0.00
18010000,ADICION PRESUPUESTAL SUPERAVIT AÑO 2020 SEGUN ACUERDO 010/19 DE OCTUBRE 2021 COMFIS Y RESOLUCION 382 DE 3 NOVIEMBRE DE 2021,2021/11/03,2863051602.32,0.00
18020000,ADICION PRESUPUESTAL SUPERAVIT AÑO 2020 SEGUN ACUERDO 010/19 DE OCTUBRE 2021 COMFIS Y RESOLUCION 382 DE 3 NOVIEMBRE DE 2021,2021/11/03,12232460.73,0.00
18020000,ADICION PRESUPUESTAL SUPERAVIT AÑO 2020 SEGUN ACUERDO 010/19 DE OCTUBRE 2021 COMFIS Y RESOLUCION 382 DE 3 NOVIEMBRE DE 2021,2021/11/03,2124001,0.00
18020000,ADICION PRESUPUESTAL SUPERAVIT AÑO 2020 SEGUN ACUERDO 010/19 DE OCTUBRE 2021 COMFIS Y RESOLUCION 382 DE 3 NOVIEMBRE DE 2021,2021/11/03,36605033.95,0.00
18020000,ADICION PRESUPUESTAL SUPERAVIT AÑO 2020 SEGUN ACUERDO 010/19 DE OCTUBRE 2021 COMFIS Y RESOLUCION 382 DE 3 NOVIEMBRE DE 2021,2021/11/03,203011754.06,0.00
13251.2.03.02.01 8006,ADICION PRESUPUESTAL SUPERAVIT AÑO 2020 SEGUN ACUERDO 010/19 DE OCTUBRE 2021 COMFIS Y RESOLUCION 382 DE 3 NOVIEMBRE DE 2021,2021/11/03,333625460,0.00
18021.1.02.06.007.02.01.18,ADICION PRESUPUESTAL CONVENIO 2021019 SEGUN ACUERDO 011/2021 DE DICIEMBRE 2021 COMFIS Y RESOLUCION 465 DE 17 DICIEMBRE DE 2021,2021/12/17,224507738,0.00
12501.1.02.05.001.06.01.01 800301,REDUCCION PRESUPUESTO SEGUN RESOLUCION No ,2021/12/30,0.00,200366245.87
12501.1.02.05.001.06.01.02 800302,REDUCCION PRESUPUESTO SEGUN RESOLUCION No ,2021/12/30,0.00,1849866072.79
12501.1.02.05.001.06.01.02 800303,REDUCCION PRESUPUESTO SEGUN RESOLUCION No ,2021/12/30,0.00,2069828073.72
12501.1.02.05.001.06.01.03 8006,REDUCCION PRESUPUESTO SEGUN RESOLUCION No ,2021/12/30,0.00,62000000
12501.1.02.05.001.06.01.04 8006,REDUCCION PRESUPUESTO SEGUN RESOLUCION No ,2021/12/30,0.00,700000
12501.1.02.05.001.06.02.01 8006,REDUCCION PRESUPUESTO SEGUN RESOLUCION No ,2021/12/30,0.00,4544112.35
12501.1.02.05.001.06.02.03 8006,REDUCCION PRESUPUESTO SEGUN RESOLUCION No ,2021/12/30,0.00,10803742.13
12501.1.02.05.001.06.02.02 8006,REDUCCION PRESUPUESTO SEGUN RESOLUCION No ,2021/12/30,0.00,121418866.43
12501.1.02.05.001.06.02.06 8006,REDUCCION PRESUPUESTO SEGUN RESOLUCION No ,2021/12/30,0.00,12661218.04
12501.1.02.05.001.06.02.07 8006,REDUCCION PRESUPUESTO SEGUN RESOLUCION No ,2021/12/30,0.00,14453709.17
12501.1.02.05.001.06.03.01 800401,REDUCCION PRESUPUESTO SEGUN RESOLUCION No ,2021/12/30,0.00,540236341.35
12501.1.02.05.001.06.03.02 800402,REDUCCION PRESUPUESTO SEGUN RESOLUCION No ,2021/12/30,0.00,768481457.79
12501.1.02.05.001.06.03.02 800404,REDUCCION PRESUPUESTO SEGUN RESOLUCION No ,2021/12/30,0.00,71156286.17
12501.1.02.05.001.06.03.03 8006,REDUCCION PRESUPUESTO SEGUN RESOLUCION No ,2021/12/30,0.00,37110606.96
12501.1.02.05.001.06.04.01 8006,REDUCCION PRESUPUESTO SEGUN RESOLUCION No ,2021/12/30,0.00,4659821.52
12501.1.02.05.001.06.02.08 8006,REDUCCION PRESUPUESTO SEGUN RESOLUCION No ,2021/12/30,0.00,465264.71
