S,233915238,10112,2021,
A22.1.9.01.01,ADICION PAGOS VIGENCIAS ANTERIORES,2021/02/22,103355760,0.00,0.00,0.00,0.00,0.00
A22.1.9.01.02,ADICION PAGOS VIGENCIAS ANTERIORES,2021/02/22,52116904,0.00,0.00,0.00,0.00,0.00
A22.1.9.01.03,ADICION PAGOS VIGENCIAS ANTERIORES,2021/02/22,122785722,0.00,0.00,0.00,0.00,0.00
A22.1.9.01.04,ADICION PAGOS VIGENCIAS ANTERIORES,2021/02/22,6565000,0.00,0.00,0.00,0.00,0.00
A22.1.9.01.05,ADICION PAGOS VIGENCIAS ANTERIORES,2021/02/22,2638960,0.00,0.00,0.00,0.00,0.00
A22.1.9.01.06,ADICION PAGOS VIGENCIAS ANTERIORES,2021/02/22,14575120,0.00,0.00,0.00,0.00,0.00
A22.1.9.01.07,ADICION PAGOS VIGENCIAS ANTERIORES,2021/02/22,2452590,0.00,0.00,0.00,0.00,0.00
E22.1.9.02.01,ADICION PAGOS VIGENCIAS ANTERIORES,2021/02/22,29476800,0.00,0.00,0.00,0.00,0.00
E22.1.9.02.02,ADICION PAGOS VIGENCIAS ANTERIORES,2021/02/22,15566477,0.00,0.00,0.00,0.00,0.00
E22.1.9.02.03,ADICION PAGOS VIGENCIAS ANTERIORES,2021/02/22,1154000,0.00,0.00,0.00,0.00,0.00
E22.1.9.02.04,ADICION PAGOS VIGENCIAS ANTERIORES,2021/02/22,322825484,0.00,0.00,0.00,0.00,0.00
E22.1.9.02.05,ADICION PAGOS VIGENCIAS ANTERIORES,2021/02/22,67174136,0.00,0.00,0.00,0.00,0.00
E22.1.9.02.06,ADICION PAGOS VIGENCIAS ANTERIORES,2021/02/22,58260036,0.00,0.00,0.00,0.00,0.00
E22.1.9.02.07,ADICION PAGOS VIGENCIAS ANTERIORES,2021/02/22,48773126,0.00,0.00,0.00,0.00,0.00
E22.1.9.02.08,ADICION PAGOS VIGENCIAS ANTERIORES,2021/02/22,80000000,0.00,0.00,0.00,0.00,0.00
